Sample,MG_name,latitude,longitude,Date.x,Index,Location,Pl_Sp,EWcoastGroup,SALTgroup,LU,Depth,Salinity.x,Core_Weight_oz,Temp,Conductivity,CO2_uM_m2_s,CH4_uM_m2_s,CO2_mg_m2_h,CH4_ug_m2_h,CH4_ppm_s,CO2_ppm_s,D1_Read_count,iTag_name.x,Part_DM,pH,Cl,SO4,OM_LOI,Corg_LOI,N,C,NO3_N,NH4_N,Olsen_P,P,Zn,Mn,Fe,Cu,EW.no,SampNO,PW_LABEL,Salinity.y,DOC_mg_L,NO2_pw,PO4_pw,SO4_pw,NO3_pw,NO2_pw.1,Cl_pw,Br_pw,F_pw,Na_pw,Mg_pw,Ca_pw,K_pw,Sr_pw,Fe_pw,Mn_pw,Al_pw,Si_pw,Co_pw,Cu_pw,Zn_pw
MayberrySE_TuleB_D2,NA,38.049923,-121.765244,9/4/2013,104,MayberrySE,Tule,SF_Rest,Oligo,Pond,d2,2.578450297,14.2,21.5,4481,32.88723379,0.965965239,5.380324547,216.8001784,0.023709325,0.807207229,123334,s104_MayberrySE_TuleB_D2,58.5,7.61,45.6,49.3,20.41,11.84,0.826,12.47,0.3,27.2,22,0.075,61,490,28780,54,104,s104,W18,2.58,39.31,0.982,4.246,20.146,NA,0.982,916.606,3.412,0.296,426299.48,74038.52,98718.77,4972.93,713.66,168.38,420.38,25.12,11622.92,0.61,6.2,NA
MayberrySE_TuleC_D2,NA,38.049923,-121.765244,9/4/2013,105,MayberrySE,Tule,SF_Rest,Oligo,Pond,d2,2.473956295,12.8,21.5,4310,35.15472686,0.631124352,5.751284558,141.648857,0.015490757,0.862862162,123114,s105_MayberrySE_TuleC_D2,55.5,7.35,47.04,85.5,21.13,12.26,0.863,12.93,0.29,24.96,22.1,0.079,62,471,29780,45,105,s105,W19,2.47,70.43,NA,5.414,0.531,NA,NA,755.51,3.123,0.7355,372911.34,63993.07,110095.06,3158.56,685.23,502.3,575.75,34.08,20753.45,1.09,5.55,NA
MayberrySE_CattailA_D2,MayberrySE_CattailA_D2,38.049904,-121.765358,9/4/2013,106,MayberrySE,Cattail,SF_Rest,Oligo,Pond,d2,1.958439419,12.8,21.2,3436,9.839868591,0.071790103,1.609794453,16.11249201,0.001762066,0.241516605,151221,s106_MayberrySE_CattailA_D2,52.2,7.44,21.4,45.1,23.25,13.48,0.964,14.78,NA,21.09,22.8,0.083,53,571,27920,40,106,s106,W7,1.96,17.59,1.208,1.866,138.55,NA,1.208,670.022,2.236,0.176,331733.17,51682.37,73850.47,732.95,452.83,359.11,259.67,20.59,9269.13,1.12,5.94,9.46
MayberrySE_CattailB_D2,NA,38.049904,-121.765358,9/4/2013,107,MayberrySE,Cattail,SF_Rest,Oligo,Pond,d2,1.519552185,12.8,21.3,2709,37.86581116,2.672484983,6.194815731,599.8095971,0.065595337,0.929404908,173466,s107_MayberrySE_CattailB_D2,54,6.99,18.52,55.8,24.26,14.07,0.969,14.27,0.17,21.05,22.1,0.083,59,426,27840,45,107,s107,W8,1.52,43.49,0.292,5.332,106.7045,NA,0.292,1112.359,3.9305,0.3025,558319.95,78058.07,107328.02,2159.6,751.71,387.74,426.6,33.55,18644.98,0.62,8.56,2.23
MayberrySE_CattailC_D2,NA,38.049904,-121.765358,9/4/2013,108,MayberrySE,Cattail,SF_Rest,Oligo,Pond,d2,1.500152135,13.4,21.4,2682,8.694154892,0.039826341,1.422356628,8.938580171,0.000977526,0.213395408,149598,s108_MayberrySE_CattailC_D2,53.7,7.49,37.11,50.5,21.86,12.68,0.919,13.89,0.29,20.04,14.4,0.079,58,450,27800,45,108,s108,W9,1.5,30.81,0.1665,1.114,166.938,NA,0.1665,772.078,2.839,0.2785,376886.33,66109.26,93819.99,5562.82,637.3,184.94,124.81,22.74,14847.33,0.67,6.79,5.66
MayberryNW_TuleA_D2,MayberryNW_TuleA_D2,38.052466,-121.7691402,10/9/2013,109,MayberryNW,Tule,SF_Rest,Oligo,Pond,d2,3.2,13,17.2,5033,65.24678813,2.261932784,10.67432117,507.6657121,0.055518458,1.601462725,147277,s109_MayberryNW_TuleA_D2,51.3,5.94,76.29,30.8,25.34,14.7,1.076,15.65,0.18,14.08,18.5,0.103,66,417,32970,44,109,s109,W77,3.23,91.03,1.798,NA,31.102,NA,1.798,1951.528,8.148,0.65,976662.06,166242.35,186636.96,17709.77,1966.99,213.49,440.02,23.66,9435.85,1.44,10.44,13.16
MayberryNW_TuleB_D2,MayberryNW_TuleB_D2,38.052466,-121.7691402,10/9/2013,110,MayberryNW,Tule,SF_Rest,Oligo,Pond,d2,3.3,12.8,16.4,5063,84.6027521,7.484902836,13.84094104,1679.90338,0.183714681,2.07654902,128302,s110_MayberryNW_TuleB_D2,51.8,6.48,60.22,42,26.21,15.2,1.089,16.03,NA,67.44,23.2,0.102,61,476,31850,41,110,s110,W78,3.31,53.9,0.466,NA,25.446,NA,0.466,1028.214,4.63,0.454,515583.57,95313.91,141550.45,18008.51,1009.16,102.42,3.25,21.25,8480.81,0.8,6.46,NA
MayberryNW_TuleC_D2,MayberryNW_TuleC_D2,38.052466,-121.7691402,10/9/2013,111,MayberryNW,Tule,SF_Rest,Oligo,Pond,d2,3,13.4,16.5,4583,11.34818142,0.734922143,1.856553198,164.9451193,0.018038442,0.278537688,154081,s111_MayberryNW_TuleC_D2,52,6.48,58.41,47.2,25.24,14.64,1.037,14.78,0.22,23.33,13.9,0.083,61,387,30100,42,111,s111,W79,2.97,74.55,1.588,NA,17.3,NA,1.588,1527.576,6.646,0.45,777787.29,123036.21,143436.13,28824.74,1110.96,435.05,633.29,26.57,11693.96,0.76,6.27,NA
MayberryNW_CattailA_D2,MayberryNW_CattailA_D2,38.052416,-121.76907,10/9/2013,112,MayberryNW,Cattail,SF_Rest,Oligo,Pond,d2,3.7,12.4,17.2,5753,59.80230681,3.456514191,9.783608475,775.7762525,0.084839098,1.467829574,132440,s112_MayberryNW_CattailA_D2,47.6,6.37,57.69,47.4,27.75,16.1,1.087,15.73,0.19,17.89,22.8,0.112,61,412,29870,40,112,s112,W74,3.72,125.3,NA,NA,13.7775,1.309,NA,1200.494,7.0095,0.7895,559893.14,142815.83,208159.83,14412.34,1998.78,261.83,992.74,22.26,13371.21,2.76,7.17,1.23
MayberryNW_CattailB_D2,MayberryNW_CattailB_D2,38.052416,-121.76907,10/9/2013,113,MayberryNW,Cattail,SF_Rest,Oligo,Pond,d2,3.7,12.6,17.5,5809,117.5183826,3.870948834,19.22591127,868.7915088,0.095011271,2.884453237,134998,s113_MayberryNW_CattailB_D2,50.7,6.53,75.2,40.4,24.54,14.23,1.019,15.1,0.2,39.39,19.9,0.101,63,475,32530,43,113,s113,W75,3.74,152.1,NA,NA,4.2655,NA,NA,2109.3955,10.6235,0.9475,1066717.9,188097.06,220804.16,23214.02,2224.65,907.66,1122.42,32.83,22082.9,2.52,9.5,NA
